,count
car,2874
like,1713
bmw,1466
cars,1436
would,1414
one,1326
tl,1316
-,1273
get,1264
think,1176
g35,972
i'm,909
new,887
even,833
much,832
better,821
drive,788
people,780
good,735
3,735
really,729
performance,668
driving,654
know,653
want,639
best,631
also,601
still,599
say,564
make,548
rwd,541
luxury,527
see,524
that's,503
buy,496
could,496
car.,495
it.,490
many,486
go,475
going,473
great,465
fwd,454
sedan,454
i've,447
way,446
engine,441
330i,437
acura,431
test,429
well,422
time,420
back,419
look,419
take,413
price,409
less,400
never,394
got,394
may,393
g,389
two,385
i'd,383
awd,381
interior,381
infiniti,381
series,377
power,377
lexus,374
manual,371
can't,366
little,361
feel,356
need,349
sport,348
hp,340
sales,340
different,338
handling,331
every,328
around,328
sure,322
lot,314
looking,313
since,312
getting,311
torque,310
years,307
probably,306
something,305
maybe,304
right,298
point,298
last,297
said,296
"car,",285
another,284
believe,280
makes,280
first,280
i'll,279
cars.,275
thing,274
tires,272
audi,263
driven,263
5,262
find,261
without,261
always,260
pretty,260
road,260
actually,257
drove,254
love,253
long,250
nice,249
big,249
might,245
looks,245
seems,245
made,243
a4,243
me.,243
top,241
cts,241
guess,238
used,237
&,236
come,232
snow,232
gas,232
front,230
agree,229
far,228
put,226
tsx,226
difference,225
nothing,225
ever,224
auto,224
almost,223
real,220
give,220
coupe,220
sports,220
mb,218
keep,218
old,218
class,216
hard,215
high,214
speed,214
fun,213
6,212
things,211
anyone,210
least,209
enough,208
quite,207
next,206
"regards,",206
read,205
2,205
value,204
year,203
325i,202
anything,202
bit,200
based,200
bad,199
us,198
fact,198
miles,197
talking,197
bought,195
dont,195
vehicle,195
tl.,191
is300,191
comes,189
mph,188
japanese,186
nissan,185
"tl,",184
honda,183
numbers,183
0-60,180
package,180
rear,179
330,179
"it,",177
either,177
use,177
buying,175
cost,174
x-type,173
brand,173
4,172
saab,172
mean,171
compared,171
etc.,169
thought,168
winter,167
someone,167
others,167
must,166
end,166
"however,",166
there's,166
level,166
shipo,166
automatic,164
money,162
reliability,162
gets,161
worth,161
.,159
mileage,158
steering,158
dealer,156
seat,155
care,155
tell,154
else,154
entry,154
pay,154
live,153
accord,153
experience,151
weight,151
system,148
rather,148
seem,148
they're,147
vehicles,147
"g35,",147
vs,145
sedans,145
driver,145
extra,145
reason,145
try,144
"cars,",143
yet,143
fast,143
near,142
m3,142
"yes,",142
mpg,142
"me,",142
second,141
"bmw,",141
trying,140
though,140
simply,140
close,139
ride,139
everything,138
compare,138
seen,138
found,137
quality,137
let,137
"well,",137
line,136
them.,136
work,136
day,135
mercedes,135
problem,134
g35.,133
faster,133
world,133
comparison,132
"""i",132
post,132
felt,132
standard,132
market,131
fuel,131
unless,131
that.,131
v6,130
set,130
2004,130
volvo,129
wheel,129
consider,128
premium,128
model,128
especially,128
saying,127
everyone,127
3-series,127
well.,126
low,126
wanted,125
american,124
came,124
sold,123
sell,122
number,122
transmission,121
done,121
higher,121
problems,120
part,120
track,119
bmw.,119
enjoy,118
seats,118
small,118
overall,117
discussion,117
understand,117
opinion,116
prefer,116
three,116
one.,116
making,115
size,115
true,115
subaru,115
drivers,115
sedan.,114
times,114
certainly,114
choice,114
bmw's,114
mind,114
add,113
change,113
expensive,113
comparing,113
"performance,",111
current,111
wheels,111
matter,111
side,110
vs.,110
given,110
german,109
race,109
wife,109
available,108
wrong,108
"again,",108
owners,108
definitely,108
thanks,108
interesting,107
hope,107
lux,106
whole,106
check,106
toyota,106
styling,105
features,105
already,105
bmws,105
time.,105
(i,105
owned,104
;-),104
heard,104
went,104
10,104
run,103
g35x,103
type,103
course,103
highway,103
?,103
60,103
equipped,102
able,102
1,102
too.,101
couple,101
buyers,101
"""the",101
"handling,",101
although,100
msrp,100
"so,",100
average,100
safety,99
here.,99
legacy,99
you.,99
cts-v,98
needs,98
"""",98
away,98
"that,",98
similar,98
several,97
"now,",97
looked,97
out.,97
beat,97
2005,96
kind,96
due,96
traction,96
3.,95
cr,95
body,95
suspension,95
7,95
sti,94
considered,94
design,94
taking,94
let's,94
"is,",94
start,94
cadillac,94
is350,94
=,94
(and,93
--,93
mention,93
325,93
smaller,93
says,93
